mobile phone name,classification,total reviews,positive reviews,negative reviews
alcatel 1066d,1,12,8,5
alcatel 1066,0,4,2,3
alcatel 1c (2019),1,35,29,7
alcatel 1s (2019),1,65,52,14
alcatel 1s (2020),1,13,12,2
alcatel 1 5033d dual sim lte,1,1,1,1
alcatel 2003,1,27,20,8
alcatel 2019,1,16,8,8
alcatel 2053d,1,1,1,1
alcatel 2053d ds,1,10,9,2
alcatel 3088x 4g,1,6,5,2
alcatel 3l (2020),1,5,4,2
allview a10 lite,1,47,37,11
allview a10 max,1,24,14,10
allview a20 lite,1,12,10,2
allview a20 max,1,2,2,1
allview d2 senior,0,14,9,5
allview d3 senior,1,10,6,5
allview h4 join,0,13,9,4
allview m10 jump,1,7,6,2
allview m11 luna,1,39,29,11
allview m8 stark,1,22,18,5
allview m9 join,1,88,65,23
allview p10 max,1,13,10,4
allview p10 mini,1,13,9,5
allview p10 pro,0,24,17,8
allview p7 pro,1,113,95,19
allview s8 style,1,2,2,1
allview soul x5,1,46,40,7
allview soul x5 mini,1,36,26,11
allview soul x5 pro,1,90,71,20
allview soul x5 style,1,114,95,20
allview soul x6 mini,1,9,8,2
allview soul x6 xtreme,1,75,62,14
allview soul x7 pro,1,38,32,7
allview soul x7 style,1,3,2,1
allview v4 viper,1,33,26,8
allview x3 soul style,1,192,160,33
allview x4 soul infinity n,1,131,100,32
allview x4 soul infinity plus,0,49,33,16
allview x4 soul infinity z,1,45,31,14
allview x4 soul lite,1,56,35,22
allview x4 soul style,1,116,98,19
apple iphone 11,1,841,709,133
apple iphone 11 pro,1,229,200,30
apple iphone 11 pro max,1,221,187,35
apple iphone 12,1,90,71,20
apple iphone 12 mini,1,54,41,14
apple iphone 12 pro,1,76,55,22
apple iphone 12 pro max,1,99,82,17
apple iphone 6s,1,488,402,86
apple iphone 6s plus,1,132,114,19
apple iphone 7,1,1091,924,168
apple iphone 7 plus,1,372,313,60
apple iphone 8,1,263,220,43
apple iphone 8 plus,1,266,234,33
apple iphone se,1,456,386,71
apple iphone se 2,1,265,231,35
apple iphone xr,1,291,242,50
apple iphone xs,1,226,192,35
apple iphone xs max,1,134,112,23
apple iphone x,1,155,123,33
asus rog phone 3,1,22,18,5
asus rog phone 3 absolute,1,1,1,1
asus rog phone 3 strix edition,1,22,18,5
asus zenfone 4 ze554kl,1,14,13,2
asus zenfone 7,1,8,6,3
asus zenfone 7 pro,1,17,14,4
asus zenfone zoom,1,3,3,1
asus zenfone zoom s ze553kl,1,17,14,4
blackview a60 pro,1,17,15,3
blackview a80,1,4,2,2
blackview a80 pro,1,3,3,1
blackview bv4900,1,1,1,1
blackview bv5500,0,10,7,4
blackview bv5500 pro,0,4,2,2
blackview bv5900,1,4,2,3
blackview bv6100,1,1,1,1
blackview bv6300 pro,1,2,2,1
blackview bv8000 pro,1,3,3,1
blackview bv9100,1,2,1,2
blackview bv9700 pro,1,6,3,4
blackview bv9900,1,2,2,1
blaupunkt bs 02,0,11,8,4
blaupunkt sm 02,1,1,1,1
cat b26,1,2,2,1
cat s31,0,13,5,8
cat s41,1,16,10,6
cat s42,0,4,1,3
cat s52,1,2,2,1
cat s61,0,9,8,2
cat s62 pro,1,3,3,1
cubot,1,7,5,3
cubot j3,1,90,62,28
cubot j5,1,45,32,14
cubot king kong,1,10,7,3
cubot king kong mini,1,13,10,4
cubot note 7,1,1,1,1
cubot p30,1,15,14,2
cubot p40,1,4,4,1
cubot quest,1,21,17,5
cubot quest lite,0,7,3,5
cubot r15 pro,1,1,1,1
cubot x20 pro,1,3,3,1
cubot x30,1,1,1,1
cubot x30 pro,1,1,1,1
doogee n20 pro,1,1,0,1
e-boda s200d senior,1,15,13,3
e-boda t306,1,18,13,5
e-boda t310s,1,47,36,12
evelatus flip,1,15,13,2
evelatus samson,1,1,1,1
evelatus wave,1,2,2,1
evelatus wave 2020 ew02bk,1,1,0,1
evolveo easyphone xdastru,1,4,3,2
evolveo easyphone xd,1,4,4,1
freeman speak t120,1,71,52,20
freeman speak t301,1,71,58,14
"fysic, fm-7500",1,7,4,4
fysic,1,6,6,1
galaxy a6 plus (2018),1,281,229,53
google pixel 4,1,4,3,2
google pixel 4 xl,1,1,0,1
google pixel 5,1,1,1,1
g k9 lmx210 (2018),0,1,0,1
hafury gt20,1,1,1,1
honor 10,1,29,26,4
honor 10 lite,1,33,29,5
honor 7c,1,2,2,1
honor 8 lite 2017,1,1,0,1
honor 9x pro,1,1,0,1
honor view 10,1,8,7,2
huawei ascend g7,1,2,2,1
huawei mate 10 pro,1,162,134,29
huawei mate 20,1,6,5,2
huawei mate 20 pro,1,136,117,20
huawei mate 20 x,1,8,5,3
huawei mate 30 pro,1,16,13,3
huawei mate 40 pro,1,20,18,3
huawei mate xs,1,13,8,5
huawei nova 4,1,2,2,1
huawei nova 5t,1,501,437,65
huawei p10,1,2,2,1
huawei p10 plus,1,2,1,2
huawei p20,1,212,186,27
huawei p20 lite,1,1203,1034,170
huawei p20 pro,1,23,15,9
huawei p30,1,175,155,21
huawei p30 lite,1,851,758,94
huawei p30 lite new edition,1,8,7,2
huawei p30 pro,1,531,442,90
huawei p30 pro new edition,1,3,3,1
huawei p40,1,26,17,9
huawei p40 lite,1,696,516,180
huawei p40 lite e,1,287,237,51
huawei p40 pro,1,106,81,26
huawei p40 pro plus,1,2,2,1
huawei p8,1,79,67,13
huawei p9,1,273,234,40
huawei p9 lite,0,1,0,1
huawei p smart (2019),1,462,406,57
huawei p smart (2021),1,58,46,13
huawei p smart plus 2019,1,2,0,2
huawei p smart pro,1,33,31,3
huawei p smart s,1,26,23,4
huawei p smart z,1,202,188,15
huawei y5p,1,139,108,31
huawei y5 2019,1,382,337,46
huawei y5 lite 2018,1,4,2,3
huawei y6p,1,152,124,28
huawei y6s,1,33,30,4
huawei y6 2019,1,362,318,45
huawei y6 pro (2017),1,1,1,1
huawei y7 2019,1,319,280,40
huawei y7 prime 2019,1,3,3,1
huawei y9 prime (2019),1,2,2,1
ihunt alien x lite 2020,1,71,55,17
ihunt alien x pro 2021,1,3,3,1
ihunt i2,1,15,15,1
ihunt i3 3g,1,39,30,10
ihunt i4 2021,1,13,11,3
ihunt i5 3g,1,19,15,5
ihunt like 7,0,8,6,3
ihunt like 8,1,2,2,1
ihunt like hi 5,1,73,55,19
ihunt mls five 4g,0,1,0,1
ihunt note 20 apex 2021,1,3,3,1
ihunt s10 tank pro 2020,1,27,23,5
ihunt s20 plus apex 2021,0,15,7,8
ihunt s20 ultra apex 2021,1,28,24,5
ihunt s60 discovery 2019,1,21,18,4
ihunt titan p11000 pro 2021,1,3,3,1
ihunt titan p13000 pro,1,32,24,9
ihunt titan p8000 pro 2021,1,13,11,3
iphone 12 pro max,1,2,2,1
karbonn aura,1,2,1,2
karbonn k110,1,3,3,1
karbonn k22,1,3,1,3
karbonn titanium mach 2 s360,1,5,3,3
karbonn titanium s8,1,12,8,5
kruger&matz live 5+,1,1,1,1
kruger&matz move8,0,2,2,1
leagoo m13,1,26,18,9
leagoo xrover c,0,11,7,5
lg g5,1,28,26,3
